9sudoku,,,,,Averages,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,RF,,,GNB,,,MLP,,,SVM,,,,,,,,,,,,,,,,
0.972222222,0.985585308,0.724238623,,,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,Accuracy,Balanced Acc,F1-Score,,,,,,,,,,,,,,,
0.991859568,0.89254308,0.87359215,,0.1,0.955938413,0.85567366,0.629239959,0.861304268,0.771425145,0.275540538,0.94847242,0.646144406,0.33626759,0.928945189,0.566460423,0.146650501,,,,,,,,,,,,,Accuracy,Balanced Accuracy,F1-score
0.988639036,0.984277043,0.858250484,,0.2,0.968215535,0.838006272,0.703779364,0.892868731,0.767011487,0.290286336,0.950465406,0.680458208,0.457491751,0.942617088,0.615568206,0.292760536,,,,,,,,,,,,RF,94.20%,81.16%,62.18%
0.988220165,0.966497397,0.844815788,,0.3,0.977535505,0.865860892,0.702303681,0.907376352,0.77385176,0.275281248,0.948489846,0.777896192,0.627008176,0.953120564,0.647190909,0.416963563,,,,,,,,,,,,GNB,89.64%,82.14%,38.87%
0.993312757,0.937623813,0.898931048,,0.4,0.953922543,0.788546123,0.562121191,0.910231963,0.772647617,0.272658257,0.966770837,0.798420462,0.623209599,0.953366215,0.675587781,0.453535121,,,,,,,,,,,,MLP,98.38%,85.37%,72.99%
0.992926955,0.897047067,0.885205856,,0.5,0.983404719,0.870855669,0.73543774,0.909176328,0.77210351,0.272358353,0.979762992,0.82116455,0.668560092,0.962033259,0.692693958,0.502698886,,,,,,,,,,,,SVM,97.83%,84.85%,70.66%
0.994924554,0.930557547,0.925263034,,0.6,0.979573483,0.855282996,0.718048519,0.906576257,0.771035659,0.268240472,0.978571728,0.797520197,0.632834967,0.97092824,0.76245187,0.589191998,,,,,,,,,,,,,,,
0.995216049,0.934423511,0.929555471,,0.7,0.982900609,0.86906315,0.752165886,0.9056737,0.770530189,0.274354116,0.979327231,0.811106634,0.660437949,0.972599466,0.816367801,0.683027853,,,,,,,,,,,,,,,
0.998559671,0.982967033,0.982146967,,0.8,0.98143914,0.866028109,0.755597493,0.882830786,0.757018622,0.271575355,0.97725072,0.823575972,0.691842699,0.980892554,0.845298251,0.718348672,,,,,,,,,,,,,,,
0.962890947,0.902463768,0.776780181,,0.9,0.976186049,0.887647484,0.775008916,0.884938874,0.760777864,0.289202172,0.976963596,0.832010075,0.69084059,0.983577353,0.852860406,0.721683682,,,,,,,,,,,,,,,
G,N,B,,Full,0.941966204,0.811582209,0.621762757,0.896352618,0.821380186,0.388665572,0.983817685,0.853693927,0.729889439,0.978321297,0.848533797,0.706643223,,,,,,,,,,,,,,,
0.869547325,0.932304337,0.358659768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.900874486,0.939259311,0.414654593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.889623751,0.94280292,0.38899195,,,,,,,,,,,,,,Accuracy,,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,,,,
0.882115912,0.938980031,0.366186437,,,,,,,,,,,,,,,RF,95.59%,96.82%,97.75%,95.39%,98.34%,97.96%,98.29%,98.14%,97.62%,94.20%,,,,
0.880061728,0.937928634,0.360929393,,,,,,,,,,,,,,,GNB,86.13%,89.29%,90.74%,91.02%,90.92%,90.66%,90.57%,88.28%,88.49%,89.64%,,,,
0.873251029,0.934370599,0.351578178,,,,,,,,,,,,,,,MLP,94.85%,95.05%,94.85%,96.68%,97.98%,97.86%,97.93%,97.73%,97.70%,98.38%,,,,
0.872702332,0.933940641,0.364370568,,,,,,,,,,,,,,,SVM,92.89%,94.26%,95.31%,95.34%,96.20%,97.09%,97.26%,98.09%,98.36%,97.83%,,,,
0.86872428,0.93188119,0.356843787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.866975309,0.930555405,0.387791056,,,,,,,,,,,,,,Balanced Accuracy,,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,,,,
0.87617284,0.935394525,0.405193448,,,,,,,,,,,,,,,RF,85.57%,83.80%,86.59%,78.85%,87.09%,85.53%,86.91%,86.60%,88.76%,81.16%,,,,
M,L,P,,,,,,,,,,,,,,,GNB,77.14%,76.70%,77.39%,77.26%,77.21%,77.10%,77.05%,75.70%,76.08%,82.14%,,,,
0.968678555,0.655946227,0.287880991,,,,,,,,,,,,,,,MLP,64.61%,68.05%,77.79%,79.84%,82.12%,79.75%,81.11%,82.36%,83.20%,85.37%,,,,
0.973984053,0.636702272,0.402192589,,,,,,,,,,,,,,,SVM,56.65%,61.56%,64.72%,67.56%,69.27%,76.25%,81.64%,84.53%,85.29%,84.85%,,,,
0.987242798,0.818431378,0.777748959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.991838134,0.896677337,0.868116659,,,,,,,,,,,,,,F1-score,,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,,,,
0.993497942,0.924241529,0.89814749,,,,,,,,,,,,,,,RF,62.92%,70.38%,70.23%,56.21%,73.54%,71.80%,75.22%,75.56%,77.50%,62.18%,,,,
0.991666667,0.879326398,0.862030742,,,,,,,,,,,,,,,GNB,27.55%,29.03%,27.53%,27.27%,27.24%,26.82%,27.44%,27.16%,28.92%,38.87%,,,,
0.99170096,0.886420852,0.871697583,,,,,,,,,,,,,,,MLP,33.63%,45.75%,62.70%,62.32%,66.86%,63.28%,66.04%,69.18%,69.08%,72.99%,,,,
0.989969136,0.864884503,0.83942027,,,,,,,,,,,,,,,SVM,14.67%,29.28%,41.70%,45.35%,50.27%,58.92%,68.30%,71.83%,72.17%,70.66%,,,,
0.991460905,0.904126182,0.888770733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.991563786,0.92545357,0.893090192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,V,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.965649291,0.546981094,0.164591916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.967759774,0.549749428,0.180978092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.975191064,0.646875794,0.454035563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.976508916,0.676945819,0.507597112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97781893,0.682510482,0.527464118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978395062,0.685518639,0.54108851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.987037037,0.822381039,0.784011168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.990432099,0.868619076,0.848722714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.990020576,0.881683455,0.865738746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.977757202,0.916360709,0.839837935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jsudoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.977149063,0.92245236,0.73732644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.990264918,0.884071154,0.850507547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.984318048,0.895839847,0.783166951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992078189,0.91733333,0.881833646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.98936214,0.921451782,0.845276366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.990046296,0.91330076,0.848827853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.993449931,0.915455941,0.900905096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992386831,0.894956976,0.882320853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996604938,0.960745591,0.956978838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.961820988,0.879047426,0.722293395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,N,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.870187471,0.932590147,0.36395142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.898919753,0.938836742,0.412646367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.884376837,0.940065849,0.380038393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.877709191,0.936615787,0.366169095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.870349794,0.93287669,0.345622109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.866949588,0.931160621,0.33567016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.86766118,0.931373484,0.351086438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.864814815,0.929867635,0.348859074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.865432099,0.929830707,0.37860323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.875576132,0.93507944,0.403704209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.970107453,0.607636117,0.315124266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.981738683,0.747510793,0.661773903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.989594356,0.854537937,0.827979442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99223251,0.894251865,0.877645064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.993580247,0.916128004,0.898854509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.993852881,0.912295769,0.90015814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992935528,0.90132282,0.890516344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.991409465,0.88139575,0.865433326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.991049383,0.890899099,0.877497217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.991028807,0.91420807,0.884917843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,V,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.965409236,0.535560281,0.130415242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.969624486,0.580014918,0.27587666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.973647854,0.628016642,0.407642252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.974777092,0.642963148,0.444528824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978004115,0.67874337,0.52617097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.981610082,0.726165664,0.621696479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.989026063,0.846713498,0.818941229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.991203704,0.878548739,0.861756011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99063786,0.885733357,0.870931432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.980288066,0.905396227,0.839769581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new_random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.880850641,0.501102904,0.074330709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.892074776,0.506446369,0.075384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.935566009,0.501057958,0.029319372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.912805127,0.50548298,0.066206897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9383367,0.499155621,0.006956522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.929662238,0.49969574,0.032520325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.929891445,0.501833775,0.026919603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.922645321,0.502310924,0.051948052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.893265993,0.499966044,0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.862796872,0.500262712,0.02777708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,N,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.731493966,0.51203092,0.080114059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.849736704,0.501044637,0.079790026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.919982774,0.501664259,0.010309278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.943553193,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.941367003,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.941018704,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.940786389,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.944028969,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.943333333,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.944043174,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.91561287,0.499739884,0.053263708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.937572407,0.501281812,0.026923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.852182127,0.501521739,0.080606061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.943553193,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.939851852,0.499577811,0.003636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.941018704,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.940786389,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.930192491,0.495735294,0.021052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.943333333,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.944549503,0.501,0.003636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,V,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.943702758,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.944523433,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.943878878,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.943553193,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.941367003,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.941018704,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.940786389,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.944028969,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.943333333,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.944043174,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
job_shop_scheduling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996068255,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.995576787,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.995450409,0.499989845,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998065582,0.777252252,0.710210664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998301486,0.793103448,0.739130435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998230715,0.782608696,0.722222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998395848,0.804905292,0.734296296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998301486,0.794438908,0.715686275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998584572,0.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99665959,0.799034091,0.617415584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,N,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996068255,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.995576787,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.994156304,0.515177904,0.022764228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.982566643,0.65301144,0.137694766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.96945506,0.864472369,0.169376553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.952335456,0.97607035,0.145848068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.951592357,0.975707878,0.130480287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.953432413,0.976631845,0.134196189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.954706299,0.977272727,0.135135135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.954706299,0.977272727,0.291320702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996068255,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.995576787,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99547063,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99598962,0.551367192,0.171552301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996914367,0.624137931,0.386098849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997346072,0.673913043,0.487376023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998254305,0.758333333,0.663489409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9985138,0.794545455,0.741176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998584572,0.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998457183,0.789971591,0.717307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,V,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8725,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8725,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.995591952,0.513636364,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996508611,0.597897898,0.327272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997027601,0.637931034,0.432432432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997169144,0.652173913,0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997876858,0.7075,0.586335404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9985138,0.794545455,0.741176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998584572,0.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.998584572,0.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exam_timetabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.971189362,0.885630499,0.870798004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.977950139,0.91328976,0.90483444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.988697166,0.955541719,0.951648892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.887313019,0.559617229,0.210941234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992465374,0.970562771,0.967974777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.99985229,0.999425287,0.999423631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.999557032,0.998550725,0.998540146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,N,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.874045802,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872853186,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872882697,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872059095,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.874335106,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.872022161,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.866469719,0.497118644,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.756121884,0.433269841,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.770321152,0.454405024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.815256659,0.751475632,0.444539092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.989903965,0.959921799,0.958123378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.950858726,0.806753813,0.757324489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,V,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.882984487,0.535483871,0.132450252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.929612188,0.723202614,0.617189493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.944119044,0.780199253,0.71827288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.940240074,0.766458557,0.695201885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97251773,0.890652557,0.877188448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.991135734,0.965367965,0.96412037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.994091581,0.977011494,0.976461773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.997253378,0.989021808,0.987853709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nurse_rostering_adv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978280779,0.983597232,0.739506021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.988928276,0.993680997,0.814578069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.990457265,0.992587891,0.889132704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.989196213,0.99379968,0.806808391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996011995,0.996047131,0.926024766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992766552,0.99580864,0.855713783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996384825,0.998043199,0.908318066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.996947497,0.998449132,0.91416309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992942613,0.996008027,0.870711962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.922322216,0.776137137,0.581963128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,N,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.961246778,0.980200323,0.574977442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.941959526,0.955916743,0.544340694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.970015699,0.984725773,0.597066618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.975722426,0.987642268,0.630935753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.97976801,0.989712228,0.655240262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.979639805,0.989647075,0.653954023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.980748881,0.990218178,0.656313575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.98046398,0.990074442,0.652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978632479,0.989098182,0.679616576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.970714286,0.984951333,0.689891112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,L,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.898059259,0.507478004,0.066945607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.908173159,0.710042349,0.439244698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.913429948,0.714989905,0.448706418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.906230347,0.701173109,0.370286271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.971884918,0.765875409,0.542162098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.966320388,0.69597882,0.401985955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.971213276,0.7677895,0.53997582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.974682511,0.875864315,0.733307269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.958974359,0.865025092,0.687934999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.991946329,0.927807995,0.867802795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,V,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.886980173,0.714276869,0.305795093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.901565557,0.724874068,0.389758434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.928765979,0.680862857,0.50486712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9317518,0.791571381,0.620347785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.940458517,0.711563381,0.582670894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.962481619,0.935207083,0.819054632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.952056259,0.935732972,0.835725092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.978797999,0.979323442,0.881264634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.993894994,0.99688522,0.871748232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992264665,0.931890241,0.865754891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
